Name,Type,X,Y
100%_Bran,Nabisco,70,4
100%_Natural_Bran,Quaker Oats,120,3
All-Bran,Kelloggs,70,4
All-Bran_with_Extra_Fiber,Kelloggs,50,4
Almond_Delight,Ralston Purina,110,2
Apple_Cinnamon_Cheerios,General Mills,110,2
Apple_Jacks,Kelloggs,110,2
Basic_4,General Mills,130,3
Bran_Chex,Ralston Purina,90,2
Bran_Flakes,Post,90,3
Cap'n'Crunch,Quaker Oats,120,1
Cheerios,General Mills,110,6
Cinnamon_Toast_Crunch,General Mills,120,1
Clusters,General Mills,110,3
Cocoa_Puffs,General Mills,110,1
Corn_Chex,Ralston Purina,110,2
Corn_Flakes,Kelloggs,100,2
Corn_Pops,Kelloggs,110,1
Count_Chocula,General Mills,110,1
Cracklin'_Oat_Bran,Kelloggs,110,3
Cream_of_Wheat_(Quick),Nabisco,100,3
Crispix,Kelloggs,110,2
Crispy_Wheat_&_Raisins,General Mills,100,2
Double_Chex,Ralston Purina,100,2
Froot_Loops,Kelloggs,110,2
Frosted_Flakes,Kelloggs,110,1
Frosted_Mini-Wheats,Kelloggs,100,3
Fruitful_Bran,Kelloggs,120,3
Fruity_Pebbles,Post,110,1
Golden_Crisp,Post,100,2
Golden_Grahams,General Mills,110,1
Grape_Nuts_Flakes,Post,100,3
Grape-Nuts,Post,110,3
Great_Grains_Pecan,Post,120,3
Honey_Graham_Ohs,Quaker Oats,120,1
Honey_Nut_Cheerios,General Mills,110,3
Honey-comb,Post,110,1
Just_Right_Crunchy__Nuggets,Kelloggs,110,2
Just_Right_Fruit_&_Nut,Kelloggs,140,3
Kix,General Mills,110,2
Life,Quaker Oats,100,4
Lucky_Charms,General Mills,110,2
Maypo,American Home Food Products,100,4
Mueslix_Crispy_Blend,Kelloggs,160,3
Multi-Grain_Cheerios,General Mills,100,2
Nut&Honey_Crunch,Kelloggs,120,2
Nutri-Grain_Almond-Raisin,Kelloggs,140,3
Nutri-grain_Wheat,Kelloggs,90,3
Oatmeal_Raisin_Crisp,General Mills,130,3
Post_Nat._Raisin_Bran,Post,120,3
Product_19,Kelloggs,100,3
Puffed_Rice,Quaker Oats,50,1
Puffed_Wheat,Quaker Oats,50,2
Quaker_Oat_Squares,Quaker Oats,100,4
Quaker_Oatmeal,Quaker Oats,100,5
Raisin_Bran,Kelloggs,120,3
Raisin_Nut_Bran,General Mills,100,3
Raisin_Squares,Kelloggs,90,2
Rice_Chex,Ralston Purina,110,1
Rice_Krispies,Kelloggs,110,2
Shredded_Wheat,Nabisco,80,2
Shredded_Wheat_'n'Bran,Nabisco,90,3
Shredded_Wheat_spoon_size,Nabisco,90,3
Smacks,Kelloggs,110,2
Special_K,Kelloggs,110,6
Strawberry_Fruit_Wheats,Nabisco,90,2
Total_Corn_Flakes,General Mills,110,2
Total_Raisin_Bran,General Mills,140,3
Total_Whole_Grain,General Mills,100,3
Triples,General Mills,110,2
Trix,General Mills,110,1
Wheat_Chex,Ralston Purina,100,3
Wheaties,General Mills,100,3
Wheaties_Honey_Gold,General Mills,110,2
