id,value
"100","51"
"1000","51"
"1001","57"
"1002","51"
"1003","47"
"1004","44"
"1005","49"
"1006","53"
"1007","49"
"1008","67"
"1009","48"
"101","246"
"1010","66"
"1011","50"
"1012","54"
"1013","51"
"1014","47"
"1015","51"
"1016","55"
"1017","56"
"1018","46"
"1019","44"
"102","48"
"1020","51"
"1021","52"
"1022","61"
"1023","51"
"1024","52"
"1025","51"
"1026","62"
"1027","51"
"1028","58"
"1029","58"
"103","53"
"1030","36"
"1031","51"
"1032","53"
"1033","44"
"1034","50"
"1035","53"
"1036","48"
"1037","52"
"1038","56"
"1039","59"
"104","53"
"1040","57"
"1041","59"
"1042","51"
"1043","51"
"1044","53"
"1045","58"
"1046","65"
"1047","59"
"1048","58"
"1049","57"
"105","57"
"1050","49"
"1051","58"
"1052","60"
"1053","62"
"1054","56"
"1055","56"
"1056","54"
"1057","54"
"1058","51"
"1059","59"
"106","120"
"1060","58"
"1061","54"
"1062","47"
"1063","61"
"1064","50"
"1065","57"
"1066","44"
"1067","55"
"1068","60"
"1069","46"
"107","51"
"1070","65"
"1071","58"
"1072","59"
"1073","53"
"1074","55"
"1075","49"
"1076","61"
"1077","56"
"1078","56"
"1079","46"
"108","41"
"1080","58"
"1081","45"
"1082","60"
"1083","62"
"1084","55"
"1085","53"
"1086","60"
"1087","50"
"1088","55"
"1089","56"
"109","59"
"1090","62"
"1091","43"
"1092","47"
"1093","57"
"1094","50"
"1095","53"
"1096","59"
"1097","49"
"1098","56"
"1099","56"
"110","44"
"1100","56"
"1101","59"
"1102","51"
"1103","52"
"1104","53"
"1105","30"
"1106","58"
"1107","56"
"1108","46"
"1109","56"
"111","47"
"1110","56"
"1111","42"
"1112","57"
"1113","46"
"1114","53"
"1115","53"
"1116","48"
"1117","50"
"1118","52"
"1119","52"
"112","47"
"1120","53"
"1121","52"
"1122","53"
"1123","48"
"1124","47"
"1125","41"
"1126","42"
"1127","53"
"1128","51"
"1129","54"
"113","47"
"1130","52"
"1131","49"
"1132","59"
"1133","50"
"1134","56"
"1135","52"
"1136","54"
"1137","54"
"1138","54"
"1139","58"
"114","74"
"1140","53"
"1141","45"
"1142","50"
"1143","58"
"1144","45"
"1145","52"
"1146","46"
"1147","55"
"1148","52"
"1149","52"
"115","51"
"1150","49"
"1151","48"
"1152","48"
"1153","58"
"1154","52"
"1155","69"
"1156","66"
"1157","51"
"1158","51"
"1159","56"
"116","52"
"1160","47"
"1161","62"
"1162","55"
"1163","48"
"1164","54"
"1165","57"
"1166","58"
"1167","53"
"1168","43"
"1169","45"
"117","53"
"1170","50"
"1171","53"
"1172","57"
"1173","59"
"1174","45"
"1175","63"
"1176","56"
"1177","50"
"1178","51"
"1179","55"
"118","47"
"1180","49"
"1181","54"
"1182","50"
"1183","13"
"119","311"
"120","53"
"121","48"
"122","50"
"123","43"
"124","41"
"125","51"
"126","59"
"127","56"
"128","48"
"129","1152"
"130","56"
"131","62"
"132","1344"
"133","66"
"134","49"
"135","41"
"136","50"
"137","544"
"138","53"
"139","54"
"140","44"
"141","56"
"142","58"
"143","47"
"144","61"
"145","50"
"146","432"
"147","53"
"148","52"
"149","47"
"150","54"
"151","408"
"152","55"
"153","45"
"154","45"
"155","51"
"156","53"
"157","50"
"158","43"
"159","44"
"160","40"
"161","51"
"162","68"
"163","55"
"164","59"
"165","53"
"166","54"
"167","58"
"168","49"
"169","58"
"170","46"
"171","54"
"172","57"
"173","47"
"174","57"
"175","43"
"176","60"
"177","50"
"178","52"
"179","58"
"180","48"
"181","60"
"182","47"
"183","65"
"184","65"
"185","47"
"186","44"
"187","51"
"188","52"
"189","47"
"190","49"
"191","44"
"192","48"
"193","54"
"194","46"
"195","50"
"196","45"
"197","66"
"198","53"
"199","55"
"200","49"
"201","50"
"202","59"
"203","59"
"204","55"
"205","43"
"206","69"
"207","53"
"208","56"
"209","61"
"21","51"
"210","49"
"211","58"
"212","43"
"213","54"
"214","48"
"215","54"
"216","63"
"217","44"
"218","50"
"219","50"
"22","56"
"220","59"
"221","56"
"222","61"
"223","53"
"224","50"
"225","45"
"226","46"
"227","51"
"228","51"
"229","53"
"23","2241"
"230","51"
"231","54"
"232","61"
"233","55"
"234","47"
"235","42"
"236","44"
"237","60"
"238","52"
"239","50"
"24","53"
"240","47"
"241","55"
"242","54"
"243","57"
"244","63"
"245","50"
"246","53"
"247","49"
"248","70"
"249","45"
"25","57"
"250","46"
"251","60"
"252","53"
"253","55"
"254","56"
"255","52"
"256","53"
"257","62"
"258","53"
"259","49"
"26","55"
"260","55"
"261","53"
"262","52"
"263","54"
"264","51"
"265","47"
"266","47"
"267","56"
"268","54"
"269","54"
"27","51"
"270","55"
"271","61"
"272","45"
"273","60"
"274","53"
"275","64"
"276","41"
"277","51"
"278","51"
"279","49"
"28","51"
"280","52"
"281","62"
"282","55"
"283","55"
"284","51"
"285","59"
"286","53"
"287","62"
"288","57"
"289","55"
"29","370"
"290","57"
"291","50"
"292","39"
"293","39"
"294","54"
"295","46"
"296","59"
"297","47"
"298","58"
"299","42"
"30","699"
"300","46"
"301","45"
"302","50"
"303","45"
"304","46"
"305","53"
"306","53"
"307","56"
"308","59"
"309","55"
"31","195"
"310","49"
"311","45"
"312","60"
"313","51"
"314","49"
"315","56"
"316","52"
"317","44"
"318","47"
"319","52"
"32","57"
"320","50"
"321","50"
"322","59"
"323","57"
"324","46"
"325","49"
"326","46"
"327","63"
"328","62"
"329","50"
"33","51"
"330","56"
"331","54"
"332","57"
"333","55"
"334","44"
"335","43"
"336","50"
"337","39"
"338","51"
"339","50"
"34","59"
"340","53"
"341","51"
"342","54"
"343","50"
"344","48"
"345","55"
"346","55"
"347","47"
"348","64"
"349","61"
"35","55"
"350","47"
"351","50"
"352","53"
"353","43"
"354","38"
"355","60"
"356","60"
"357","46"
"358","48"
"359","50"
"36","55"
"360","59"
"361","55"
"362","48"
"363","48"
"364","59"
"365","47"
"366","44"
"367","37"
"368","53"
"369","56"
"37","54"
"370","43"
"371","49"
"372","47"
"373","50"
"374","60"
"375","57"
"376","52"
"377","43"
"378","67"
"379","51"
"38","48"
"380","54"
"381","49"
"382","63"
"383","54"
"384","53"
"385","61"
"386","52"
"387","50"
"388","54"
"389","53"
"39","47"
"390","66"
"391","49"
"392","46"
"393","44"
"394","61"
"395","52"
"396","45"
"397","54"
"398","57"
"399","57"
"40","50"
"400","59"
"401","47"
"402","48"
"403","57"
"404","61"
"405","51"
"406","58"
"407","44"
"408","53"
"409","58"
"41","40"
"410","62"
"411","62"
"412","47"
"413","58"
"414","59"
"415","56"
"416","55"
"417","46"
"418","44"
"419","62"
"42","61"
"420","54"
"421","53"
"422","50"
"423","46"
"424","56"
"425","56"
"426","46"
"427","55"
"428","58"
"429","56"
"43","54"
"430","55"
"431","46"
"432","55"
"433","52"
"434","60"
"435","57"
"436","61"
"437","58"
"438","52"
"439","46"
"44","51"
"440","50"
"441","47"
"442","47"
"443","55"
"444","50"
"445","43"
"446","56"
"447","54"
"448","61"
"449","45"
"45","47"
"450","50"
"451","47"
"452","56"
"453","49"
"454","47"
"455","51"
"456","47"
"457","53"
"458","54"
"459","60"
"46","54"
"460","45"
"461","42"
"462","57"
"463","59"
"464","58"
"465","48"
"466","44"
"467","50"
"468","51"
"469","58"
"47","63"
"470","54"
"471","64"
"472","44"
"473","54"
"474","45"
"475","48"
"476","55"
"477","69"
"478","60"
"479","56"
"48","53"
"480","54"
"481","54"
"482","52"
"483","48"
"484","65"
"485","52"
"486","54"
"487","47"
"488","50"
"489","53"
"49","60"
"490","51"
"491","51"
"492","52"
"493","57"
"494","57"
"495","38"
"496","61"
"497","48"
"498","45"
"499","64"
"50","54"
"500","54"
"501","56"
"502","57"
"503","62"
"504","60"
"505","58"
"506","51"
"507","51"
"508","45"
"509","17"
"51","52"
"510","23"
"511","44"
"512","49"
"513","58"
"514","52"
"515","60"
"516","60"
"517","59"
"518","54"
"519","56"
"52","47"
"520","47"
"521","50"
"522","51"
"523","55"
"524","48"
"525","58"
"526","57"
"527","54"
"528","43"
"529","61"
"53","47"
"530","49"
"531","59"
"532","58"
"533","50"
"534","41"
"535","47"
"536","42"
"537","61"
"538","55"
"539","48"
"54","47"
"540","47"
"541","54"
"542","55"
"543","53"
"544","43"
"545","54"
"546","59"
"547","61"
"548","60"
"549","44"
"55","63"
"550","60"
"551","40"
"552","52"
"553","61"
"554","52"
"555","56"
"556","61"
"557","70"
"558","52"
"559","55"
"56","51"
"560","50"
"561","51"
"562","57"
"563","54"
"564","53"
"565","53"
"566","56"
"567","58"
"568","45"
"569","52"
"57","45"
"570","60"
"571","57"
"572","40"
"573","61"
"574","52"
"575","48"
"576","53"
"577","55"
"578","56"
"579","53"
"58","51"
"580","57"
"581","55"
"582","51"
"583","50"
"584","54"
"585","45"
"586","52"
"587","60"
"588","46"
"589","68"
"59","48"
"590","58"
"591","44"
"592","51"
"593","52"
"594","58"
"595","49"
"596","71"
"597","48"
"598","45"
"599","43"
"60","67"
"600","41"
"601","55"
"602","48"
"603","58"
"604","53"
"605","49"
"606","53"
"607","47"
"608","65"
"609","50"
"61","58"
"610","53"
"611","44"
"612","50"
"613","56"
"614","63"
"615","55"
"616","55"
"617","48"
"618","66"
"619","62"
"62","52"
"620","45"
"621","38"
"622","46"
"623","55"
"624","55"
"625","61"
"626","56"
"627","59"
"628","55"
"629","48"
"63","50"
"630","58"
"631","53"
"632","48"
"633","51"
"634","43"
"635","53"
"636","51"
"637","51"
"638","55"
"639","51"
"64","51"
"640","58"
"641","46"
"642","57"
"643","46"
"644","54"
"645","53"
"646","50"
"647","54"
"648","47"
"649","46"
"65","52"
"650","57"
"651","48"
"652","57"
"653","54"
"654","56"
"655","52"
"656","63"
"657","42"
"658","62"
"659","44"
"66","50"
"660","55"
"661","47"
"662","65"
"663","59"
"664","55"
"665","64"
"666","52"
"667","57"
"668","54"
"669","54"
"67","51"
"670","60"
"671","61"
"672","62"
"673","54"
"674","54"
"676","54"
"677","59"
"678","55"
"679","44"
"68","47"
"680","50"
"681","59"
"682","58"
"683","42"
"684","15"
"686","0"
"687","0"
"688","0"
"689","0"
"69","56"
"690","0"
"691","0"
"692","0"
"693","0"
"694","0"
"695","0"
"696","0"
"697","0"
"698","0"
"699","0"
"70","58"
"700","0"
"701","0"
"702","0"
"703","0"
"704","0"
"705","0"
"706","0"
"707","0"
"708","0"
"709","0"
"71","60"
"710","0"
"711","0"
"712","0"
"713","0"
"714","0"
"715","0"
"716","0"
"717","0"
"718","0"
"719","0"
"72","57"
"720","0"
"721","0"
"722","0"
"723","0"
"724","0"
"725","0"
"726","0"
"727","0"
"728","0"
"729","0"
"73","63"
"730","0"
"731","0"
"732","0"
"733","0"
"734","0"
"735","0"
"736","0"
"737","0"
"738","0"
"739","0"
"74","48"
"740","0"
"741","0"
"742","0"
"743","0"
"744","0"
"745","0"
"746","0"
"747","0"
"748","0"
"749","0"
"75","64"
"750","0"
"751","0"
"752","0"
"753","0"
"754","0"
"755","0"
"756","0"
"757","0"
"758","0"
"759","0"
"76","55"
"760","0"
"761","0"
"762","0"
"763","0"
"764","0"
"765","0"
"766","0"
"767","0"
"768","0"
"769","0"
"77","41"
"770","0"
"771","0"
"772","0"
"773","0"
"774","0"
"775","0"
"776","0"
"777","0"
"778","0"
"779","0"
"78","46"
"780","0"
"781","0"
"782","0"
"783","0"
"784","0"
"785","0"
"786","0"
"787","0"
"788","0"
"789","0"
"79","55"
"790","0"
"791","0"
"792","0"
"793","0"
"794","0"
"795","0"
"796","0"
"797","0"
"798","0"
"799","0"
"80","51"
"800","0"
"801","0"
"802","0"
"803","0"
"804","0"
"805","0"
"806","0"
"807","0"
"808","0"
"809","0"
"81","52"
"810","0"
"811","0"
"812","0"
"813","0"
"814","0"
"816","57"
"817","56"
"818","44"
"819","65"
"82","57"
"820","64"
"821","46"
"822","46"
"823","49"
"824","49"
"825","61"
"826","51"
"827","57"
"828","44"
"829","59"
"83","55"
"830","54"
"831","57"
"832","46"
"833","45"
"834","63"
"835","52"
"836","44"
"837","45"
"838","54"
"839","54"
"84","55"
"840","57"
"841","58"
"842","39"
"843","53"
"844","52"
"845","60"
"846","60"
"847","53"
"848","63"
"849","54"
"85","60"
"850","62"
"851","61"
"852","46"
"853","56"
"854","52"
"855","52"
"856","47"
"857","51"
"858","48"
"859","46"
"86","57"
"860","48"
"861","56"
"862","61"
"863","50"
"864","49"
"865","48"
"866","55"
"867","46"
"868","55"
"869","57"
"87","62"
"870","63"
"871","49"
"872","47"
"873","49"
"874","60"
"875","48"
"876","50"
"877","52"
"878","62"
"879","61"
"88","54"
"880","58"
"881","5"
"882","65"
"883","56"
"884","57"
"885","54"
"886","51"
"887","54"
"888","50"
"889","46"
"89","51"
"890","60"
"891","55"
"892","50"
"893","52"
"894","48"
"895","60"
"896","51"
"897","57"
"898","50"
"899","51"
"90","47"
"900","36"
"901","56"
"902","59"
"903","54"
"904","49"
"905","53"
"906","48"
"907","45"
"908","53"
"909","45"
"91","50"
"910","64"
"911","56"
"912","55"
"913","61"
"914","51"
"915","47"
"916","49"
"917","47"
"918","68"
"919","54"
"92","58"
"920","45"
"921","61"
"922","48"
"923","52"
"924","47"
"925","50"
"926","51"
"927","58"
"928","58"
"929","50"
"93","47"
"930","56"
"931","62"
"932","55"
"933","59"
"934","48"
"935","54"
"936","56"
"937","62"
"938","48"
"939","52"
"94","49"
"940","50"
"941","50"
"942","47"
"943","54"
"944","49"
"945","48"
"946","53"
"947","61"
"948","67"
"949","53"
"95","57"
"950","58"
"951","47"
"952","62"
"953","57"
"954","49"
"955","53"
"956","53"
"957","58"
"958","45"
"959","52"
"96","45"
"960","61"
"961","50"
"962","53"
"963","42"
"964","65"
"965","57"
"966","52"
"967","60"
"968","50"
"969","50"
"97","193"
"970","51"
"971","55"
"972","65"
"973","49"
"974","54"
"975","62"
"976","51"
"977","62"
"978","57"
"979","57"
"98","52"
"980","56"
"981","48"
"982","61"
"983","58"
"984","54"
"985","46"
"986","57"
"987","45"
"988","50"
"989","37"
"99","60"
"990","53"
"991","49"
"992","53"
"993","47"
"994","47"
"995","69"
"996","52"
"997","46"
"998","53"
"999","49"
