nodeName,replCount
"OPERATIONS.SERVER.GRANDFORKS.1","612587"
"DIR1-TSMGUI11-0","101988"
"PJ-TSMGUI11-0","18651"
"DIR1-TSMGUI11-2","101987"
"DIR1-TSMGUI11-6","428"
"DIR1-TSMGUI11-8","101988"
"DIR1-TSMGUI11-19","19079"
"LOU_HOLT","254"
"LILLIAN_RICHARDS","5962"
"SHANE.YORK","6401"
"DIR1-TSMGUI4-2","18651"
"DIR1-TSMGUI4-9","18651"
"DIR2-TSMGUI4-8","2604"
"PJ-TSMGUI11-12","46643"
"PJ-TSMGUI11-18","104659"
"PJ-TSMGUI11-19","19335"
"NAS-DISK-1","8"
"NAS-ATRISK-2","4"
"NAS-ATRISK-3","96"
"DIR-TEST-1","150672"
"CLEVER1-1","15"
"CLEVER2-1","2120"
"CLEVERSAFE1-1","15"
"CLEVERSAFE2-1","46886"
"2341429-TEST-BACKUP","2101"
"PJ-TSMGUI11-2","19579"
"2341429-TEST-BACKUPUNIX","346"
"VTL1-TSMGUI11-1","1"
"TAPE1-TSMGUI11-0","3"
"TAPE1-TSMGUI11-1","7"
"TAPE1-TSMGUI11-2","348"
"TAPE1-TSMGUI11-3","959"
"TAPE1-TSMGUI11-4","62111"
"TAPE1-TSMGUI11-5","114762"
"TAPE1-TSMGUI11-7","673"
"CONVERT-FROM-1-0","3552"
"CONVERT-FROM-1-1","2"
"CONVERT-FROM-1-2","2"
"CONVERT-FROM-1-3","415"
"CONVERT-FROM-1-4","1946"
"CONVERT-FROM-2-0","1966"
"CONVERT-FROM-2-1","21058"
"PJ-TSMGUI11-3","20217"
"PJ-TSMGUI11-4","20215"
"PJ-TSMGUI11-5","18659"
"PJ-TSMGUI11-7","19349"
"PJ-TSMGUI11-8","20207"
"PJ-TSMGUI11-9","18651"
"PJ-TSMGUI11-10","18653"
"PJ-TSMGUI11-11","18653"
"PJ-TSMGUI11-14","18653"
"PJ-TSMGUI11-15","19339"
"PJ-TSMGUI11-16","20211"
"PJ-TSMGUI11-17","19635"
